acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.0548,https://api.spotify.com/v1/audio-analysis/2Ae5awwKvQpTBKQHr1TYCg,0.811,195429,0.801,2Ae5awwKvQpTBKQHr1TYCg,2.09e-05,9,0.0742,-6.0,0,0.0802,1,105.055,4,https://api.spotify.com/v1/tracks/2Ae5awwKvQpTBKQHr1TYCg,audio_features,spotify:track:2Ae5awwKvQpTBKQHr1TYCg,0.693
0.0599,https://api.spotify.com/v1/audio-analysis/4MUNZkVe0VfomuSgY1EJun,0.709,203115,0.723,4MUNZkVe0VfomuSgY1EJun,0.00743,7,0.0641,-6.674,0,0.232,1,105.108,4,https://api.spotify.com/v1/tracks/4MUNZkVe0VfomuSgY1EJun,audio_features,spotify:track:4MUNZkVe0VfomuSgY1EJun,0.882
0.00615,https://api.spotify.com/v1/audio-analysis/0y3fi7fknIXOxnkbUgzT3n,0.633,193173,0.833,0y3fi7fknIXOxnkbUgzT3n,0.000148,8,0.0827,-3.001,1,0.043,1,139.963,4,https://api.spotify.com/v1/tracks/0y3fi7fknIXOxnkbUgzT3n,audio_features,spotify:track:0y3fi7fknIXOxnkbUgzT3n,0.693
0.00225,https://api.spotify.com/v1/audio-analysis/32nh00vv9yZUc9boON0L2G,0.727,232547,0.596,32nh00vv9yZUc9boON0L2G,0.000192,5,0.104,-5.008,0,0.0528,1,114.021,4,https://api.spotify.com/v1/tracks/32nh00vv9yZUc9boON0L2G,audio_features,spotify:track:32nh00vv9yZUc9boON0L2G,0.704
0.0571,https://api.spotify.com/v1/audio-analysis/4w2iAP3X4FkpPb5kjRdIDx,0.725,224133,0.669,4w2iAP3X4FkpPb5kjRdIDx,0.159,0,0.107,-6.582,1,0.0351,1,125.046,4,https://api.spotify.com/v1/tracks/4w2iAP3X4FkpPb5kjRdIDx,audio_features,spotify:track:4w2iAP3X4FkpPb5kjRdIDx,0.338
0.000356,https://api.spotify.com/v1/audio-analysis/5arbXJvMUxiWR32B1gjRVP,0.733,267096,0.846,5arbXJvMUxiWR32B1gjRVP,0.385,7,0.0768,-2.929,1,0.0575,1,124.006,4,https://api.spotify.com/v1/tracks/5arbXJvMUxiWR32B1gjRVP,audio_features,spotify:track:5arbXJvMUxiWR32B1gjRVP,0.213
0.0233,https://api.spotify.com/v1/audio-analysis/2GMYVDNrHxzYpCIkZ2JZMu,0.725,257354,0.791,2GMYVDNrHxzYpCIkZ2JZMu,0.000245,8,0.56,-5.756,0,0.0472,1,125.01,4,https://api.spotify.com/v1/tracks/2GMYVDNrHxzYpCIkZ2JZMu,audio_features,spotify:track:2GMYVDNrHxzYpCIkZ2JZMu,0.756
0.0403,https://api.spotify.com/v1/audio-analysis/5QZuJIDmYFw5e9biebNNko,0.838,252749,0.735,5QZuJIDmYFw5e9biebNNko,0.615,3,0.298,-7.424,0,0.127,1,124.026,4,https://api.spotify.com/v1/tracks/5QZuJIDmYFw5e9biebNNko,audio_features,spotify:track:5QZuJIDmYFw5e9biebNNko,0.885
0.0427,https://api.spotify.com/v1/audio-analysis/3aU6pz4OXJicKvTc1P2g15,0.746,298800,0.814,3aU6pz4OXJicKvTc1P2g15,0.0117,7,0.0772,-7.061,1,0.0398,1,124.0,4,https://api.spotify.com/v1/tracks/3aU6pz4OXJicKvTc1P2g15,audio_features,spotify:track:3aU6pz4OXJicKvTc1P2g15,0.277
0.00126,https://api.spotify.com/v1/audio-analysis/3Y5ixjN9T004oqFISs4okQ,0.928,336118,0.388,3Y5ixjN9T004oqFISs4okQ,0.822,6,0.115,-8.028,1,0.0645,1,115.012,4,https://api.spotify.com/v1/tracks/3Y5ixjN9T004oqFISs4okQ,audio_features,spotify:track:3Y5ixjN9T004oqFISs4okQ,0.783
